experiment,subject,condition,social_type,word_count,question_count,demir_modal_rate,demir_verb_rate,demir_adverb_rate,demir_adjective_rate,demir_quantifier_rate,demir_noun_rate,demir_total_rate,fung_interpersonal_rate,fung_referential_rate,fung_structural_rate,fung_cognitive_rate,fung_total_rate,nonfluency_rate,liwc_filler_rate,disfluency_rate,like_rate,tom_rate,politeness_rate,sentiment,quality,connectedness
Human,sub-001,bot,nonsocial,38.9375,0.09375,0.011299053819964653,0.02099437989692676,0.017042560091894508,0.0,0.005843844454777958,0.0,0.055179838263563874,0.08730826879929114,0.054608818096638936,0.042740335253263755,0.03881909804089352,0.13904581189793883,0.0,0.005456509846594785,0.005456509846594785,0.018950543598497335,0.0034768400764668504,-0.0013325162066580832,0.6145818181818181,2.5,2.1
Human,sub-001,bot,social,46.25806451612903,0.1935483870967742,0.011357748950269496,0.024330348362828175,0.008861384126309374,0.0,0.0023111808826094538,0.0,0.0468606623220165,0.06225574625849931,0.04846045343815789,0.037783166110137614,0.02941946506094741,0.10794338567384318,0.0004761904761904762,0.0026372155287817936,0.0031134060049722704,0.009127943941550235,0.0037321937321937323,0.000925032175032175,0.6951285714285714,2.4,2.0
Human,sub-001,hum,nonsocial,44.1875,0.21875,0.01195596819471789,0.02198865490448063,0.01176078275513129,0.00045913682277318646,0.005109911433377704,0.000522466039707419,0.051796920150188115,0.07605549998315207,0.05482289731295473,0.03495181207159679,0.03666679121609083,0.121743392904787,0.0021935775667118952,0.00913396007407747,0.011327537640789366,0.013455133433401307,0.00638500728245708,0.0035404852667012972,0.7937272727272727,3.2,2.9
Human,sub-001,hum,social,48.93333333333333,0.03333333333333333,0.010226416355074614,0.02005510813455652,0.008200122632247241,0.0013791800491214812,0.006770676097234744,0.0,0.046631503268234606,0.0554175439244788,0.05900348591543582,0.04260427024760392,0.01942661851374054,0.10871272375805545,0.0014242424242424244,0.006721902357747257,0.008146144781989682,0.0058401133315926865,0.0023483016573335597,0.000616274667550045,0.520565,3.3,3.6
Human,sub-002,bot,nonsocial,48.32142857142857,0.0,0.006914634147210357,0.025318180308599735,0.014697950524459944,0.0004409171075837742,0.012867878113928881,0.0004409171075837742,0.060680477309366466,0.05298513857117507,0.05607762818526085,0.03821010271173437,0.03772967953453606,0.11223356422781634,0.001145475372279496,0.014149185124232879,0.015294660496512374,0.021834901777926574,0.0,0.0,0.4381666666666667,2.6,2.4
Human,sub-002,bot,social,62.391304347826086,0.08695652173913043,0.00777857368583175,0.031887614097376504,0.011002916747018301,0.0,0.003835757003393175,0.0,0.054504861533619726,0.058817701825305393,0.05532418969834373,0.04423072104507998,0.045202071815399626,0.119810298166734,0.004939178411889679,0.017261311990848432,0.022200490402738113,0.021294118064619696,0.002796173283978162,0.0011433375367801597,0.699976923076923,2.8,2.6
Human,sub-002,hum,nonsocial,54.44827586206897,0.0,0.012049187663314821,0.01585237606133539,0.0084838498631412,0.00040485829959514174,0.00588461975209905,0.0,0.0426748916394856,0.07380899068415658,0.061873101447084786,0.04309024106773317,0.048232365160140254,0.13107433195675278,0.0012895354583642204,0.010113291387808471,0.01140282684617269,0.030116158359623352,0.0,0.000753711637255338,0.7785473684210525,3.0,2.8
Human,sub-002,hum,social,66.54166666666667,0.0,0.005272941999825038,0.025745866712184103,0.08038181178262191,0.0,0.0005330490405117271,0.0,0.11193366953514276,0.061330180126467196,0.05710739736721877,0.04870958594174885,0.04111871791968575,0.11610799328256867,0.006094770519296771,0.008079717245491605,0.014174487764788376,0.017134625948630192,0.00116144018583043,-0.000351747325085977,0.4866642857142857,3.4,3.1
Human,sub-003,bot,nonsocial,49.43333333333333,0.16666666666666666,0.006396652491950486,0.016967989999078698,0.012355596085515707,0.0,0.00515095344831274,0.001349527665317139,0.04222071969017477,0.09388954642531228,0.06952683860149218,0.06233213232820402,0.03452571361435688,0.14536059197557022,0.0062306364489033575,0.012469162938973743,0.0186997993878771,0.008020056848384857,0.007752707315463248,0.00038574754659968124,0.8049894736842106,2.6,2.3
Human,sub-003,bot,social,65.0,0.07407407407407407,0.008606742455391711,0.03587085767978791,0.012674209206455555,0.00041135335252982314,0.006119406032815941,0.0002774694783573807,0.06396003820533834,0.10235814656336711,0.049291501182590625,0.06291734715954898,0.029357185954490415,0.12979138000689183,0.0013024249150775232,0.00757458830865141,0.008877013223728933,0.00918189308515148,0.005069041495943682,0.000522737084230792,0.5753352941176471,2.5,2.2
