run,agent,topic,social,order
1,hum_2,space,0,1
1,hum_1,hobbies,1,2
1,bot_2,cars,0,3
1,bot_1,nature,0,4
1,hum_1,photography,0,5
1,bot_2,conflict,1,6
1,hum_2,friendship,1,7
1,bot_1,childhood_memories,1,8
2,bot_1,networks,1,1
2,hum_2,role_models,1,2
2,hum_1,art,0,3
2,bot_2,books,0,4
2,bot_1,sports,0,5
2,hum_1,empathy,1,6
2,hum_2,exercise,0,7
2,bot_2,mentorship,1,8
3,hum_2,trust,1,1
3,bot_2,love,1,2
3,hum_1,cultural_celebrations,1,3
3,bot_1,movies,0,4
3,hum_2,cooking,0,5
3,bot_1,loneliness,1,6
3,hum_1,music,0,7
3,bot_2,architecture,0,8
4,hum_2,travel,0,1
4,bot_1,teamwork,1,2
4,hum_1,communication,1,3
4,bot_2,forgiveness,1,4
4,hum_1,seasons,0,5
4,bot_1,technology,0,6
4,bot_2,podcasts,0,7
4,hum_2,work_life,1,8
5,bot_2,goals,1,1
5,bot_1,boundaries,1,2
5,hum_1,family,1,3
5,hum_2,food,0,4
5,hum_2,social_media,1,5
5,bot_2,weather,0,6
5,hum_1,gardening,0,7
5,bot_1,fashion,0,8
