dim_name,dim_id,probe_type,layer,cosine,abs_cosine,r_squared
0_baseline,0,reading,6,0.048145074397325516,0.048145074397325516,0.002317948188724009
0_baseline,0,reading,7,0.042116470634937286,0.042116470634937286,0.0017737970987435348
0_baseline,0,reading,8,0.030239345505833626,0.030239345505833626,0.0009144180166211803
0_baseline,0,reading,9,0.002080211415886879,0.002080211415886879,4.327279534786094e-06
0_baseline,0,reading,10,1.0481525691830029e-07,1.0481525691830029e-07,1.0986238082849297e-14
0_baseline,0,reading,11,-0.0006855567917227745,0.0006855567917227745,4.699881146772236e-07
0_baseline,0,reading,12,-0.01962871663272381,0.01962871663272381,0.0003852865166477683
0_baseline,0,reading,13,-0.0037518201861530542,0.0037518201861530542,1.4076154709225539e-05
0_baseline,0,reading,14,0.014273061417043209,0.014273061417043209,0.0002037202822146875
0_baseline,0,reading,15,-0.006282458081841469,0.006282458081841469,3.946927955009519e-05
0_baseline,0,reading,16,-0.033632151782512665,0.033632151782512665,0.0011311216335219698
0_baseline,0,reading,17,-0.015941722318530083,0.015941722318530083,0.00025413851048112016
0_baseline,0,reading,18,0.014101851731538773,0.014101851731538773,0.00019886222225830308
0_baseline,0,reading,19,0.004014306701719761,0.004014306701719761,1.6114658295472185e-05
0_baseline,0,reading,20,0.01310114935040474,0.01310114935040474,0.00017164011430161052
0_baseline,0,reading,21,0.0040121544152498245,0.0040121544152498245,1.609738305180866e-05
0_baseline,0,reading,22,0.006079915910959244,0.006079915910959244,3.696537748433537e-05
0_baseline,0,reading,23,-0.009074278175830841,0.009074278175830841,8.23425244123599e-05
0_baseline,0,reading,24,0.0029550360050052404,0.0029550360050052404,8.732237790877331e-06
0_baseline,0,reading,25,-0.010625037364661694,0.010625037364661694,0.0001128914190004571
0_baseline,0,reading,26,-0.0014766375534236431,0.0014766375534236431,2.1804584641809625e-06
0_baseline,0,reading,27,0.020913004875183105,0.020913004875183105,0.00043735377290943234
0_baseline,0,reading,28,0.02045687474310398,0.02045687474310398,0.00041848372425504557
0_baseline,0,reading,29,-0.010332142002880573,0.010332142002880573,0.00010675315836768898
0_baseline,0,reading,30,0.015588739886879921,0.015588739886879921,0.000243008811260801
0_baseline,0,reading,31,0.011792495846748352,0.011792495846748352,0.00013906295829557713
0_baseline,0,reading,32,-0.015005935914814472,0.015005935914814472,0.00022517811267951885
0_baseline,0,reading,33,0.0031747897155582905,0.0031747897155582905,1.0079289738014691e-05
0_baseline,0,reading,34,0.013800784014165401,0.013800784014165401,0.0001904616394056433
